,Random (1),Cooperate (1),Cooperate (2),Defect (2),Defect (3),Unforgiving (3),Cooperate (4),Unforgiving (4),Random (5),Defect (5)
189,1.584821429,0.733050847,0.455958549,2.529147982,2.553571429,0.698924731,1,1,1.423963134,2.756097561
190,1.586666667,0.733050847,0.455958549,2.529147982,2.553571429,0.70212766,1,1,1.427272727,2.761904762
191,1.581497797,0.729957806,0.455958549,2.529147982,2.565217391,0.708333333,1,1,1.427272727,2.761904762
192,1.581497797,0.732217573,0.451282051,2.524444444,2.565217391,0.708333333,1,1,1.427272727,2.761904762
193,1.581497797,0.734439834,0.448979592,2.526315789,2.567099567,0.720207254,1,1,1.427272727,2.764150943
194,1.583333333,0.734439834,0.46,2.530434783,2.564655172,0.716494845,1,1,1.427272727,2.764150943
195,1.580786026,0.733606557,0.46,2.530434783,2.564655172,0.716494845,1,1,1.43438914,2.765258216
196,1.580786026,0.734693878,0.46,2.530434783,2.56223176,0.712820513,1,1,1.448430493,2.76744186
197,1.593073593,0.734693878,0.46,2.534482759,2.55982906,0.709183673,1,1,1.45814978,2.771689498
198,1.593073593,0.734693878,0.46,2.538461538,2.561702128,0.720812183,1,1,1.47826087,2.772727273
199,1.593073593,0.734693878,0.46,2.538461538,2.563559322,0.732323232,1,1,1.484848485,2.773755656
200,1.593073593,0.734693878,0.46,2.538461538,2.561181435,0.728643216,1,1,1.485106383,2.766816143
201,1.590517241,0.734693878,0.457711443,2.536170213,2.558823529,0.725,1,1,1.478813559,2.763392857
202,1.592274678,0.735772358,0.457711443,2.536170213,2.560669456,0.738916256,1,1,1.485232068,2.764444444
203,1.592274678,0.732793522,0.457711443,2.536170213,2.564315353,0.738916256,1,1,1.468879668,2.757709251
204,1.587234043,0.734939759,0.457711443,2.536170213,2.561983471,0.737864078,1,1,1.475206612,2.75877193
205,1.587234043,0.737051793,0.457711443,2.540084388,2.561983471,0.737864078,1,1,1.475206612,2.760869565
206,1.587234043,0.737051793,0.463054187,2.540084388,2.563786008,0.748792271,1,1,1.471311475,2.760869565
207,1.587234043,0.739130435,0.463054187,2.543933054,2.56557377,0.759615385,1,1,1.471311475,2.760869565
208,1.579831933,0.739130435,0.458536585,2.543209877,2.56557377,0.761904762,1,1,1.465306122,2.757575758
209,1.577405858,0.74015748,0.458536585,2.543209877,2.56557377,0.761904762,1,1,1.465587045,2.755364807
210,1.575,0.741176471,0.458536585,2.543209877,2.56557377,0.761904762,1,1,1.465587045,2.755364807
211,1.575,0.744186047,0.45631068,2.548387097,2.56557377,0.761904762,1,1,1.46184739,2.755364807
212,1.572614108,0.746153846,0.461538462,2.548387097,2.567346939,0.772511848,1,1,1.46184739,2.755364807
213,1.572614108,0.747126437,0.461538462,2.552,2.568548387,0.771028037,1,1,1.468253968,2.754237288
214,1.567901235,0.747126437,0.461538462,2.552,2.568548387,0.771028037,1,1,1.468253968,2.754237288
215,1.567901235,0.747126437,0.461538462,2.552,2.568548387,0.773148148,1,1,1.4743083,2.755274262
216,1.563265306,0.747126437,0.466666667,2.552,2.56626506,0.769585253,1,1,1.4743083,2.755274262
217,1.556451613,0.747126437,0.464454976,2.549800797,2.564,0.766055046,1,1,1.468503937,2.75210084
218,1.549800797,0.748091603,0.46728972,2.551181102,2.567460317,0.768181818,1,1,1.474509804,2.753138075
219,1.551587302,0.74904943,0.470046083,2.549019608,2.567460317,0.768181818,1,1,1.474509804,2.755186722
220,1.553359684,0.746212121,0.467889908,2.546875,2.573643411,0.774774775,1,1,1.48046875,2.756198347
221,1.553359684,0.743396226,0.467889908,2.546875,2.573643411,0.774774775,1,1,1.48046875,2.758196721
222,1.553359684,0.743396226,0.472727273,2.546875,2.573643411,0.774774775,1,1,1.486381323,2.759183673
223,1.55511811,0.743396226,0.472727273,2.553846154,2.573643411,0.774774775,1,1,1.486381323,2.759183673
224,1.552941176,0.740601504,0.472727273,2.553846154,2.573643411,0.776785714,1,1,1.486381323,2.759183673
225,1.552529183,0.743494424,0.477477477,2.553846154,2.573643411,0.776785714,1,1,1.486486486,2.759036145
226,1.554263566,0.743589744,0.48,2.551724138,2.571428571,0.773333333,1,1,1.494296578,2.759036145
227,1.554263566,0.740875912,0.48,2.551724138,2.574712644,0.773333333,1,1,1.494296578,2.759036145
228,1.554263566,0.740875912,0.477876106,2.549618321,2.574712644,0.773333333,1,1,1.490636704,2.756972112
229,1.54789272,0.740875912,0.477876106,2.549618321,2.574712644,0.773333333,1,1,1.490636704,2.756972112
