,Random (1),Cooperate (1),Cooperate (2),Defect (2),Defect (3),Unforgiving (3),Cooperate (4),Unforgiving (4),Random (5),Defect (5)
35,2.063829787,1.395348837,1.090909091,1.731707317,1.933333333,1.166666667,2,2,0.975,1.5
36,2.040816327,1.422222222,1.028571429,1.755555556,1.967741935,1.135135135,2,2,0.976190476,1.5
37,2.04,1.434782609,0.972972973,1.808510638,1.9375,1.131578947,2,2,0.97826087,1.5
38,2.019230769,1.434782609,0.947368421,1.833333333,1.9375,1.131578947,2,2,0.978723404,1.47826087
39,1.981818182,1.446808511,0.947368421,1.833333333,1.833333333,1.131578947,2,2,1,1.5
40,1.98245614,1.469387755,0.952380952,1.88,1.864864865,1.102564103,2,2,1,1.489795918
41,1.98245614,1.469387755,0.952380952,1.88,1.864864865,1.102564103,2,2,1.019607843,1.489795918
42,1.98245614,1.469387755,1,1.846153846,1.80952381,1.075,2,2,1.019607843,1.489795918
43,1.982758621,1.48,1,1.846153846,1.837209302,1.048780488,2,2,1,1.489795918
44,1.966666667,1.48,1,1.846153846,1.837209302,1.048780488,2,2,1.017857143,1.489795918
45,1.966666667,1.48,1.021276596,1.867924528,1.837209302,1.048780488,2,2,1.017857143,1.509803922
46,1.983606557,1.450980392,1.04,1.888888889,1.837209302,1.048780488,2,2,1.017857143,1.538461538
47,2,1.423076923,1,1.896551724,1.837209302,1.048780488,2,2,1,1.538461538
48,2,1.433962264,1.037037037,1.896551724,1.863636364,1.068181818,2,2,0.983050847,1.538461538
49,1.96969697,1.444444444,1,1.933333333,1.888888889,1.044444444,2,2,0.983050847,1.555555556
50,1.956521739,1.454545455,0.98245614,1.950819672,1.888888889,1.085106383,2,2,0.983050847,1.581818182
51,1.985915493,1.403508772,0.965517241,1.967741935,1.888888889,1.085106383,2,2,1.015384615,1.581818182
52,1.985915493,1.403508772,0.949152542,1.984126984,1.888888889,1.085106383,2,2,1,1.542372881
53,1.960526316,1.413793103,0.933333333,2,1.913043478,1.0625,2,2,1,1.524590164
54,1.960526316,1.413793103,0.933333333,2,1.875,1.0625,2,2,1,1.53968254
55,1.960526316,1.413793103,0.918032787,2.015384615,1.807692308,1.0625,2,2,0.98630137,1.507462687
56,1.974025974,1.409836066,0.903225806,2.03030303,1.807692308,1.1,2,2,0.98630137,1.507462687
57,1.987179487,1.40625,0.903225806,2.03030303,1.807692308,1.134615385,2,2,0.98630137,1.52173913
58,1.9625,1.40625,0.903225806,2.03030303,1.830188679,1.113207547,2,2,0.972972973,1.52173913
59,1.941176471,1.402985075,0.888888889,2.014492754,1.872727273,1.072727273,2,2,0.973684211,1.52173913
60,1.931034483,1.402985075,0.888888889,1.985915493,1.872727273,1.072727273,2,2,1,1.542857143
61,1.933333333,1.428571429,0.875,2,1.872727273,1.072727273,2,2,0.987804878,1.513513514
62,1.933333333,1.428571429,0.882352941,2.027027027,1.892857143,1.053571429,2,2,0.987804878,1.481012658
63,1.945054945,1.408450704,0.882352941,2,1.852459016,1.035087719,2,2,0.987951807,1.5
64,1.956521739,1.388888889,0.845070423,2.037974684,1.852459016,1.035087719,2,2,0.976190476,1.5
65,1.956521739,1.388888889,0.845070423,2.012345679,1.825396825,1.035087719,2,2,0.953488372,1.49382716
66,1.978723404,1.351351351,0.845070423,2.012345679,1.825396825,1.035087719,2,2,0.953488372,1.512195122
67,1.979166667,1.351351351,0.876712329,2.012345679,1.861538462,1.032786885,2,2,0.953488372,1.547619048
68,1.979166667,1.384615385,0.906666667,2.012345679,1.848484848,1.032258065,2,2,0.954022989,1.547619048
69,1.969387755,1.384615385,0.923076923,2,1.848484848,1.032258065,2,2,0.966292135,1.547619048
70,1.96,1.384615385,0.923076923,2,1.84057971,1.015873016,2,2,0.945652174,1.541176471
71,1.96,1.384615385,0.911392405,2.011764706,1.816901408,1.015873016,2,2,0.945652174,1.541176471
72,1.96,1.4,0.911392405,2.011764706,1.773333333,1.015873016,2,2,0.957446809,1.568181818
73,1.96039604,1.407407407,0.911392405,2.011764706,1.753246753,1.015873016,2,2,0.957446809,1.568181818
74,1.960784314,1.414634146,0.911392405,2.011764706,1.75,1,2,2,0.9375,1.555555556
75,1.961165049,1.421686747,0.911392405,2.011764706,1.75,1.03030303,2,2,0.9375,1.555555556
76,1.980952381,1.402298851,0.9,2.023255814,1.780487805,1,2,2,0.9375,1.586956522
77,1.980952381,1.415730337,0.9,2.023255814,1.785714286,1.013888889,2,2,0.9375,1.574468085
78,2,1.384615385,0.9,2,1.8,1.026666667,2,2,0.927835052,1.551020408
79,2,1.384615385,0.9,1.977777778,1.8,1.026666667,2,2,0.919191919,1.551020408
80,2,1.384615385,0.9,1.977777778,1.8,1.026666667,2,2,0.921568627,1.565656566
81,2.009259259,1.382978723,0.926829268,1.977777778,1.8,1.026666667,2,2,0.914285714,1.563106796
82,2,1.402061856,0.915662651,1.989010989,1.781609195,1.026666667,2,2,0.914285714,1.576923077
83,1.99122807,1.408163265,0.915662651,1.967741935,1.781609195,1.051948052,2,2,0.905660377,1.579439252
84,1.99122807,1.408163265,0.915662651,1.947368421,1.781609195,1.051948052,2,2,0.897196262,1.579439252
85,1.991304348,1.414141414,0.91954023,1.969072165,1.795454545,1.0625,2,2,0.888888889,1.592592593
86,1.99137931,1.42,0.91954023,1.969072165,1.795454545,1.0625,2,2,0.888888889,1.605504587
87,1.99137931,1.431372549,0.943820225,1.969072165,1.795454545,1.0625,2,2,0.888888889,1.618181818
88,1.99137931,1.452830189,0.943820225,1.969072165,1.822222222,1.036585366,2,2,0.889908257,1.618181818
89,1.983050847,1.452830189,0.923076923,1.98989899,1.822222222,1.05952381,2,2,0.881818182,1.607142857
90,1.991735537,1.439252336,0.913043478,2,1.822222222,1.05952381,2,2,0.881818182,1.601769912
91,2.008130081,1.412844037,0.893617021,2,1.822222222,1.05952381,2,2,0.881818182,1.603448276
92,2.008130081,1.412844037,0.916666667,2,1.795698925,1.08045977,2,2,0.873873874,1.603448276
