,Random (1),Cooperate (1),Cooperate (2),Defect (2),Defect (3),Unforgiving (3),Cooperate (4),Unforgiving (4),Random (5),Defect (5)
111,2.098484848,2.313559322,1.555555556,1.481481481,1.438461538,1.393162393,3,3,1.006711409,1.285714286
112,2.082089552,2.325,1.567567568,1.486238532,1.442748092,1.381355932,3,3,1,1.292929293
113,2.082089552,2.336065574,1.567567568,1.486238532,1.440298507,1.369747899,3,3,0.993464052,1.3
114,2.082089552,2.346774194,1.567567568,1.486238532,1.437956204,1.333333333,3,3,0.987012987,1.294117647
115,2.082089552,2.346774194,1.567567568,1.486238532,1.446808511,1.322580645,3,3,0.987179487,1.294117647
116,2.082089552,2.357142857,1.567567568,1.486238532,1.450704225,1.312,3,3,0.987341772,1.301886792
117,2.082089552,2.3671875,1.578947368,1.482142857,1.454545455,1.312,3,3,0.975,1.296296296
118,2.095588235,2.3671875,1.578947368,1.482142857,1.448275862,1.301587302,3,3,0.975,1.3
119,2.095588235,2.3671875,1.565217391,1.486725664,1.452054795,1.291338583,3,3,0.969512195,1.3
120,2.127659574,2.381679389,1.538461538,1.495652174,1.455782313,1.2890625,3,3,0.969512195,1.300884956
121,2.126760563,2.363636364,1.525423729,1.5,1.452702703,1.286821705,3,3,0.964071856,1.298245614
122,2.125874126,2.345864662,1.55,1.5,1.443708609,1.27480916,3,3,0.964285714,1.298245614
123,2.115646259,2.333333333,1.56097561,1.504273504,1.444444444,1.27480916,3,3,0.964285714,1.293103448
124,2.115646259,2.343065693,1.56097561,1.504273504,1.444444444,1.27480916,3,3,0.964285714,1.288135593
125,2.115646259,2.343065693,1.56097561,1.504273504,1.444444444,1.253731343,3,3,0.964285714,1.285714286
126,2.115646259,2.352517986,1.548387097,1.5,1.448717949,1.253731343,3,3,0.964497041,1.291666667
127,2.121621622,2.357142857,1.536,1.495934959,1.443037975,1.279411765,3,3,0.958823529,1.291666667
128,2.121621622,2.366197183,1.536,1.488,1.443037975,1.285714286,3,3,0.958823529,1.28
129,2.121621622,2.366197183,1.559055118,1.488,1.45,1.285714286,3,3,0.98265896,1.28
130,2.111842105,2.354166667,1.559055118,1.488,1.444444444,1.309859155,3,3,0.982857143,1.285714286
131,2.111111111,2.337931034,1.546875,1.492063492,1.444444444,1.324137931,3,3,0.977272727,1.286821705
132,2.096774194,2.337931034,1.534883721,1.496062992,1.447852761,1.315068493,3,3,0.971751412,1.286821705
133,2.082802548,2.346938776,1.545454545,1.492307692,1.451219512,1.315068493,3,3,0.971751412,1.284615385
134,2.082802548,2.346938776,1.545454545,1.492307692,1.451219512,1.286666667,3,3,0.971910112,1.282442748
135,2.082802548,2.346938776,1.567164179,1.484848485,1.458333333,1.276315789,3,3,0.972067039,1.282442748
136,2.06918239,2.364238411,1.555555556,1.488721805,1.453488372,1.276315789,3,3,0.972067039,1.278195489
137,2.055900621,2.364238411,1.576642336,1.488721805,1.448275862,1.276315789,3,3,0.972067039,1.278195489
138,2.055555556,2.348684211,1.576642336,1.488721805,1.448275862,1.276315789,3,3,0.972067039,1.278195489
139,2.061349693,2.352941176,1.576642336,1.488721805,1.443181818,1.274509804,3,3,0.972067039,1.274074074
140,2.061349693,2.361290323,1.585714286,1.492537313,1.43575419,1.274509804,3,3,0.972067039,1.274074074
141,2.061349693,2.361290323,1.574468085,1.489051095,1.426229508,1.258064516,3,3,0.972067039,1.274074074
142,2.067073171,2.365384615,1.594405594,1.482014388,1.432432432,1.264150943,3,3,0.972375691,1.272058824
143,2.054216867,2.365384615,1.594405594,1.482014388,1.438502674,1.264150943,3,3,0.972527473,1.282608696
144,2.053892216,2.350318471,1.594405594,1.475177305,1.438502674,1.25625,3,3,0.961956522,1.276595745
145,2.053892216,2.350318471,1.583333333,1.472222222,1.441489362,1.25625,3,3,0.962162162,1.276595745
146,2.041420118,2.350318471,1.572413793,1.469387755,1.441489362,1.240740741,3,3,0.983957219,1.276595745
147,2.034090909,2.35443038,1.572413793,1.463087248,1.442708333,1.239263804,3,3,0.983957219,1.268965517
148,2.034090909,2.35443038,1.561643836,1.466666667,1.440414508,1.239263804,3,3,0.983957219,1.268965517
149,2.033898305,2.339622642,1.561643836,1.466666667,1.440414508,1.239263804,3,3,0.983957219,1.268965517
150,2.033898305,2.339622642,1.551020408,1.470198675,1.435897436,1.231707317,3,3,0.984126984,1.273972603
151,2.044692737,2.347826087,1.540540541,1.473684211,1.434343434,1.224242424,3,3,0.978947368,1.266666667
152,2.043715847,2.355828221,1.540540541,1.473684211,1.432835821,1.21686747,3,3,0.978947368,1.274509804
